Name,First URL,First Category in 'descriptionMetadata'
Chemmy Alcott,https://fr.wikipedia.org/?curid=999181,Article utilisant une Infobox
Brianna Walle,https://fr.wikipedia.org/?curid=9990575,Page utilisant P569
Pamela M. Kilmartin,https://fr.wikipedia.org/?curid=998882,Wikipédia:ébauche astronome
Elena Yakovishina,https://fr.wikipedia.org/?curid=9997935,Wikipédia:ébauche ski alpin
Julie Marie Berman,https://fr.wikipedia.org/?curid=9997980,Wikipédia:ébauche acteur américain
Habitam Alemu,https://fr.wikipedia.org/?curid=9993621,Wikipédia:ébauche athlète éthiopien
Meghan Beesley,https://fr.wikipedia.org/?curid=9993692,Wikipédia:ébauche athlète britannique
Fiona Bourke,https://fr.wikipedia.org/?curid=9994862,Wikipédia:ébauche aviron
Numidia Lezoul,https://fr.wikipedia.org/?curid=14306474,Article à wikifier depuis septembre 2021
Liste d'acteurs ayant incarné un roi ou une reine à l'écran,https://fr.wikipedia.org/?curid=1891419,Article contenant un appel à traduction en anglais
Julianne Trevisol,https://fr.wikipedia.org/?curid=15350684,Wikipédia:ébauche télévision
Mia Rose,https://fr.wikipedia.org/?curid=4039522,Article manquant de références depuis juillet 2019
Présentateurs et présentatrices sur TF1,https://fr.wikipedia.org/?curid=5665354,Article manquant de références depuis janvier 2012
