TableNum,column_number,column_type_1,column_type_2,column_type_3,column_type_4,column_type_5,column_type_6,key column
0,5,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,1
1,5,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,0
2,5,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,0
3,5,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,0
4,6,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,1
5,6,UNKNOWN,PERSON,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0
6,6,UNKNOWN,PERSON,UNKNOWN,UNKNOWN,UNKNOWN,CARDINAL,0
7,6,UNKNOWN,PERSON,UNKNOWN,UNKNOWN,UNKNOWN,TYPOGRAPHICAL ELEMENT,0
8,6,UNKNOWN,PERSON,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0
9,6,UNKNOWN,PERSON,UNKNOWN,UNKNOWN,UNKNOWN,CARDINAL,0
10,6,UNKNOWN,PERSON,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0
11,6,UNKNOWN,PERSON,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0
