URL,File Name without Extension
https://fr.wikipedia.org/?curid=11243429,instance_26
https://fr.wikipedia.org/?curid=6957904,instance_36
https://fr.wikipedia.org/?curid=4153753,instance_87
https://fr.wikipedia.org/?curid=1273789,instance_95
https://fr.wikipedia.org/?curid=3952472,instance_99
https://fr.wikipedia.org/?curid=11500274,instance_24
https://fr.wikipedia.org/?curid=12810759,instance_48
https://fr.wikipedia.org/?curid=4331022,instance_1
https://fr.wikipedia.org/?curid=184497,instance_80
https://fr.wikipedia.org/?curid=770578,instance_4
https://fr.wikipedia.org/?curid=4171207,instance_47
https://fr.wikipedia.org/?curid=1905669,instance_12
https://fr.wikipedia.org/?curid=3747477,instance_88
https://fr.wikipedia.org/?curid=4756974,instance_94
https://fr.wikipedia.org/?curid=150171,instance_82
https://fr.wikipedia.org/?curid=81322,instance_20
https://fr.wikipedia.org/?curid=4562177,instance_22
https://fr.wikipedia.org/?curid=7717464,instance_79
https://fr.wikipedia.org/?curid=10792393,instance_5
https://fr.wikipedia.org/?curid=9440913,instance_57
https://fr.wikipedia.org/?curid=43734,instance_64
https://fr.wikipedia.org/?curid=6549577,instance_10
https://fr.wikipedia.org/?curid=278951,instance_58
https://fr.wikipedia.org/?curid=154700,instance_70
https://fr.wikipedia.org/?curid=1959293,instance_6
https://fr.wikipedia.org/?curid=6540166,instance_25
https://fr.wikipedia.org/?curid=7014036,instance_63
https://fr.wikipedia.org/?curid=40408,instance_14
https://fr.wikipedia.org/?curid=648459,instance_17
https://fr.wikipedia.org/?curid=235945,instance_83
https://fr.wikipedia.org/?curid=828499,instance_93
https://fr.wikipedia.org/?curid=1683000,instance_85
https://fr.wikipedia.org/?curid=8088781,instance_84
https://fr.wikipedia.org/?curid=5510922,instance_81
https://fr.wikipedia.org/?curid=58559,instance_71
https://fr.wikipedia.org/?curid=3149324,instance_44
https://fr.wikipedia.org/?curid=1255401,instance_32
https://fr.wikipedia.org/?curid=135765,instance_66
https://fr.wikipedia.org/?curid=57279,instance_68
https://fr.wikipedia.org/?curid=87443,instance_21
https://fr.wikipedia.org/?curid=98348,instance_40
https://fr.wikipedia.org/?curid=543182,instance_69
https://fr.wikipedia.org/?curid=7524996,instance_39
https://fr.wikipedia.org/?curid=12444871,instance_31
https://fr.wikipedia.org/?curid=12414208,instance_86
https://fr.wikipedia.org/?curid=342938,instance_53
https://fr.wikipedia.org/?curid=18984,instance_41
https://fr.wikipedia.org/?curid=4930297,instance_3
https://fr.wikipedia.org/?curid=6216491,instance_51
https://fr.wikipedia.org/?curid=1057650,instance_60
https://fr.wikipedia.org/?curid=9970440,instance_74
https://fr.wikipedia.org/?curid=3539718,instance_35
https://fr.wikipedia.org/?curid=4248039,instance_49
https://fr.wikipedia.org/?curid=227303,instance_92
https://fr.wikipedia.org/?curid=1424248,instance_29
https://fr.wikipedia.org/?curid=1223325,instance_30
https://fr.wikipedia.org/?curid=8298326,instance_8
https://fr.wikipedia.org/?curid=12783280,instance_46
https://fr.wikipedia.org/?curid=5479926,instance_18
https://fr.wikipedia.org/?curid=11904611,instance_28
https://fr.wikipedia.org/?curid=55172,instance_75
https://fr.wikipedia.org/?curid=14104728,instance_9
https://fr.wikipedia.org/?curid=333437,instance_89
https://fr.wikipedia.org/?curid=12644971,instance_23
https://fr.wikipedia.org/?curid=5214852,instance_62
https://fr.wikipedia.org/?curid=12433763,instance_56
https://fr.wikipedia.org/?curid=511041,instance_16
https://fr.wikipedia.org/?curid=50346,instance_96
https://fr.wikipedia.org/?curid=5892703,instance_59
https://fr.wikipedia.org/?curid=44279,instance_43
https://fr.wikipedia.org/?curid=349950,instance_55
https://fr.wikipedia.org/?curid=10362,instance_91
https://fr.wikipedia.org/?curid=3935375,instance_50
https://fr.wikipedia.org/?curid=55551,instance_97
https://fr.wikipedia.org/?curid=12748865,instance_7
https://fr.wikipedia.org/?curid=356378,instance_100
https://fr.wikipedia.org/?curid=4364133,instance_76
https://fr.wikipedia.org/?curid=15002517,instance_13
https://fr.wikipedia.org/?curid=6947667,instance_98
https://fr.wikipedia.org/?curid=5265023,instance_67
https://fr.wikipedia.org/?curid=5581115,instance_77
https://fr.wikipedia.org/?curid=640,instance_15
https://fr.wikipedia.org/?curid=2000161,instance_52
https://fr.wikipedia.org/?curid=15461916,instance_45
https://fr.wikipedia.org/?curid=71863,instance_78
https://fr.wikipedia.org/?curid=5611148,instance_27
https://fr.wikipedia.org/?curid=8051660,instance_42
https://fr.wikipedia.org/?curid=3036056,instance_33
https://fr.wikipedia.org/?curid=3034109,instance_73
https://fr.wikipedia.org/?curid=2691667,instance_37
https://fr.wikipedia.org/?curid=2497694,instance_19
https://fr.wikipedia.org/?curid=90935,instance_38
https://fr.wikipedia.org/?curid=11019108,instance_54
https://fr.wikipedia.org/?curid=1373517,instance_72
https://fr.wikipedia.org/?curid=12950006,instance_34
https://fr.wikipedia.org/?curid=464912,instance_61
https://fr.wikipedia.org/?curid=10154,instance_65
https://fr.wikipedia.org/?curid=7762065,instance_90
https://fr.wikipedia.org/?curid=439220,instance_11
https://fr.wikipedia.org/?curid=1279461,instance_2
